bet,ts_utc,match,market,prop,ticker,strategy,model,side,price,qty,spend,fee,minute,fair,mkt,outcome,pnl,clv_c
1,2026-07-09T19:07:46Z,FRA–MAR,Over 3.5,over3.5,KXWCTOTAL-26JUL09FRAMAR-4,Wings,v1.6|tracked,NO,0.74,1,0.74,0.01,,0.0993,0.265,0,0.25,-2.5
2,2026-07-09T19:07:46Z,FRA–MAR,Over 4.5,over4.5,KXWCTOTAL-26JUL09FRAMAR-5,Wings,v1.6|tracked,NO,0.88,1,0.88,0.01,,0.0322,0.125,0,0.11,-1.5
3,2026-07-09T19:07:46Z,FRA–MAR,France -1.5,home_by2,KXWCSPREAD-26JUL09FRAMAR-FRA2,Wings,v1.6|tracked,NO,0.66,1,0.66,0.02,,0.1267,0.345,1,-0.68,-1.5
4,2026-07-09T19:07:46Z,FRA–MAR,Morocco -1.5,away_by2,KXWCSPREAD-26JUL09FRAMAR-MAR2,Wings,v1.6|tracked,YES,0.05,1,0.05,0.0,,0.1018,0.045,0,-0.05,-0.5
5,2026-07-09T19:07:46Z,FRA–MAR,France win,home_win,KXWCGAME-26JUL09FRAMAR-FRA,Full distribution,v1.6|tracked,NO,0.39,1,0.39,0.02,,0.3437,0.615,1,-0.41,-0.5
6,2026-07-09T19:07:46Z,FRA–MAR,Draw,draw,KXWCGAME-26JUL09FRAMAR-TIE,Full distribution,v1.6|tracked,YES,0.25,1,0.25,0.01,,0.358,0.245,0,-0.26,-0.5
7,2026-07-09T19:07:46Z,FRA–MAR,Morocco win,away_win,KXWCGAME-26JUL09FRAMAR-MAR,Full distribution,v1.6|tracked,YES,0.15,1,0.15,0.01,,0.2982,0.145,0,-0.16,-0.5
8,2026-07-09T19:07:46Z,FRA–MAR,Over 0.5,over0.5,KXWCTOTAL-26JUL09FRAMAR-1,Full distribution,v1.6|tracked,NO,0.08,1,0.08,0.01,,0.8131,0.925,1,-0.09,-0.5
9,2026-07-09T19:07:46Z,FRA–MAR,Over 1.5,over1.5,KXWCTOTAL-26JUL09FRAMAR-2,Full distribution,v1.6|tracked,NO,0.27,1,0.27,0.01,,0.5305,0.735,1,-0.28,-3.5
10,2026-07-09T19:07:46Z,FRA–MAR,Over 2.5,over2.5,KXWCTOTAL-26JUL09FRAMAR-3,Full distribution,v1.6|tracked,NO,0.53,1,0.53,0.02,,0.2534,0.475,0,0.45,-3.5
11,2026-07-09T19:07:46Z,FRA–MAR,Over 3.5,over3.5,KXWCTOTAL-26JUL09FRAMAR-4,Full distribution,v1.6|tracked,NO,0.74,1,0.74,0.01,,0.0993,0.265,0,0.25,-2.5
12,2026-07-09T19:07:46Z,FRA–MAR,Over 4.5,over4.5,KXWCTOTAL-26JUL09FRAMAR-5,Full distribution,v1.6|tracked,NO,0.88,1,0.88,0.01,,0.0322,0.125,0,0.11,-1.5
13,2026-07-09T19:07:46Z,FRA–MAR,Both teams to score,btts,KXWCBTTS-26JUL09FRAMAR-BTTS,Full distribution,v1.6|tracked,NO,0.5,1,0.5,0.02,,0.3483,0.505,0,0.48,-1.5
14,2026-07-09T19:07:46Z,FRA–MAR,France -1.5,home_by2,KXWCSPREAD-26JUL09FRAMAR-FRA2,Full distribution,v1.6|tracked,NO,0.66,1,0.66,0.02,,0.1267,0.345,1,-0.68,-1.5
15,2026-07-09T19:07:46Z,FRA–MAR,Morocco -1.5,away_by2,KXWCSPREAD-26JUL09FRAMAR-MAR2,Full distribution,v1.6|tracked,YES,0.05,1,0.05,0.0,,0.1018,0.045,0,-0.05,-0.5
16,2026-07-09T20:33:15Z,FRA–MAR,Both teams to score,btts,KXWCBTTS-26JUL09FRAMAR-BTTS,In-game,v1.6+uniform-frac|tracked,NO,0.62,1,0.62,0.02,32,0.1926,0.385,0,0.36,
17,2026-07-09T20:37:57Z,FRA–MAR,Over 4.5,over4.5,KXWCTOTAL-26JUL09FRAMAR-5,In-game,v1.6+uniform-frac|tracked,NO,0.95,1,0.95,0.0,37,0.0041,0.055,0,0.05,
18,2026-07-09T20:45:00Z,FRA–MAR,Over 3.5,over3.5,KXWCTOTAL-26JUL09FRAMAR-4,In-game,v1.6+uniform-frac|tracked,NO,0.88,1,0.88,0.01,44,0.0129,0.125,0,0.11,
19,2026-07-09T20:47:21Z,FRA–MAR,Over 0.5,over0.5,KXWCTOTAL-26JUL09FRAMAR-1,In-game,v1.6+uniform-frac|tracked,NO,0.16,1,0.16,0.01,46,0.5663,0.845,1,-0.17,
20,2026-07-09T20:47:21Z,FRA–MAR,Over 1.5,over1.5,KXWCTOTAL-26JUL09FRAMAR-2,In-game,v1.6+uniform-frac|tracked,NO,0.44,1,0.44,0.02,46,0.2161,0.565,1,-0.46,
21,2026-07-09T20:47:21Z,FRA–MAR,Over 2.5,over2.5,KXWCTOTAL-26JUL09FRAMAR-3,In-game,v1.6+uniform-frac|tracked,NO,0.72,1,0.72,0.01,46,0.055,0.285,0,0.27,
22,2026-07-09T21:06:10Z,FRA–MAR,Morocco win,away_win,KXWCGAME-26JUL09FRAMAR-MAR,Live xG,v1.6+B2-k30@HT|tracked,NO,0.88,1,0.88,0.01,45,0.0597,0.125,0,0.11,
23,2026-07-09T21:06:10Z,FRA–MAR,Over 0.5,over0.5,KXWCTOTAL-26JUL09FRAMAR-1,Live xG,v1.6+B2-k30@HT|tracked,NO,0.18,1,0.18,0.01,45,0.7622,0.825,1,-0.19,
24,2026-07-09T21:06:10Z,FRA–MAR,Over 1.5,over1.5,KXWCTOTAL-26JUL09FRAMAR-2,Live xG,v1.6+B2-k30@HT|tracked,NO,0.47,1,0.47,0.02,45,0.434,0.535,1,-0.49,
25,2026-07-09T21:06:10Z,FRA–MAR,Over 2.5,over2.5,KXWCTOTAL-26JUL09FRAMAR-3,Live xG,v1.6+B2-k30@HT|tracked,NO,0.74,1,0.74,0.01,45,0.1811,0.265,0,0.25,
26,2026-07-09T21:06:10Z,FRA–MAR,Over 3.5,over3.5,KXWCTOTAL-26JUL09FRAMAR-4,Live xG,v1.6+B2-k30@HT|tracked,NO,0.91,1,0.91,0.01,45,0.0607,0.095,0,0.08,
27,2026-07-09T21:06:10Z,FRA–MAR,Both teams to score,btts,KXWCBTTS-26JUL09FRAMAR-BTTS,Live xG,v1.6+B2-k30@HT|tracked,NO,0.72,1,0.72,0.01,45,0.1459,0.285,0,0.27,
28,2026-07-09T21:20:17Z,FRA–MAR,Draw,draw,KXWCGAME-26JUL09FRAMAR-TIE,In-game,v1.6+uniform-frac|tracked,YES,0.35,1,0.35,0.02,55,0.578,0.345,0,-0.37,
29,2026-07-09T21:20:17Z,FRA–MAR,Draw,draw,KXWCGAME-26JUL09FRAMAR-TIE,Live xG,v1.6+B2-k30@HT|tracked,YES,0.35,1,0.35,0.02,55,0.4038,0.345,0,-0.37,
30,2026-07-09T21:24:51Z,FRA–MAR,France win,home_win,KXWCGAME-26JUL09FRAMAR-FRA,Live xG,v1.6+B2-k30@HT,YES,0.84,36,30.24,0.34,60,0.9352,0.835,1,5.42,
31,2026-07-09T21:24:51Z,FRA–MAR,France -1.5,home_by2,KXWCSPREAD-26JUL09FRAMAR-FRA2,Live xG,v1.6+B2-k30@HT,YES,0.42,18,7.56,0.31,60,0.5116,0.415,1,10.13,
32,2026-07-09T21:41:04Z,FRA–MAR,France -1.5,home_by2,KXWCSPREAD-26JUL09FRAMAR-FRA2,In-game,v1.6+uniform-frac,YES,0.86,10,8.6,0.08,76,0.8953,0.855,1,1.32,
33,2026-07-10T18:24:30Z,ESP–BEL,Spain -1.5,home_by2,KXWCSPREAD-26JUL10ESPBEL-ESP2,Wings,v1.6,NO,0.66,8,5.28,0.13,,0.2955,0.345,,,-0.0
34,2026-07-10T18:24:30Z,ESP–BEL,Spain win,home_win,KXWCGAME-26JUL10ESPBEL-ESP,Full distribution,v1.6,NO,0.41,11,4.51,0.19,,0.5297,0.595,,,0.5
35,2026-07-10T18:24:30Z,ESP–BEL,Belgium win,away_win,KXWCGAME-26JUL10ESPBEL-BEL,Full distribution,v1.6,YES,0.17,11,1.87,0.11,,0.2102,0.165,,,0.5
36,2026-07-10T18:24:30Z,ESP–BEL,Over 2.5,over2.5,KXWCTOTAL-26JUL10ESPBEL-3,Full distribution,v1.6,NO,0.45,8,3.6,0.14,,0.5028,0.555,,,-0.5
37,2026-07-10T18:24:30Z,ESP–BEL,Spain -1.5,home_by2,KXWCSPREAD-26JUL10ESPBEL-ESP2,Full distribution,v1.6,NO,0.66,8,5.28,0.13,,0.2955,0.345,,,-0.0
38,2026-07-10T19:04:18Z,ESP–BEL,Over 4.5,over4.5,KXWCTOTAL-26JUL10ESPBEL-5,In-game,v1.6+uniform-frac,NO,0.84,10,8.4,0.09,3,0.122,0.165,,,
39,2026-07-10T19:04:18Z,ESP–BEL,Both teams to score,btts,KXWCBTTS-26JUL10ESPBEL-BTTS,In-game,v1.6+uniform-frac,NO,0.45,7,3.15,0.12,3,0.5063,0.555,,,
40,2026-07-10T19:06:39Z,ESP–BEL,Over 1.5,over1.5,KXWCTOTAL-26JUL10ESPBEL-2,In-game,v1.6+uniform-frac,NO,0.21,16,3.36,0.19,5,0.7302,0.795,,,
41,2026-07-10T19:06:39Z,ESP–BEL,Over 3.5,over3.5,KXWCTOTAL-26JUL10ESPBEL-4,In-game,v1.6+uniform-frac,NO,0.69,12,8.28,0.18,5,0.2502,0.315,,,
42,2026-07-10T19:06:39Z,ESP–BEL,Spain -1.5,home_by2,KXWCSPREAD-26JUL10ESPBEL-ESP2,In-game,v1.6+uniform-frac,NO,0.67,9,6.03,0.14,5,0.2813,0.335,,,
43,2026-07-10T19:08:57Z,ESP–BEL,Draw,draw,KXWCGAME-26JUL10ESPBEL-TIE,In-game,v1.6+uniform-frac,YES,0.24,7,1.68,0.09,8,0.2769,0.235,,,
44,2026-07-10T19:08:57Z,ESP–BEL,Over 2.5,over2.5,KXWCTOTAL-26JUL10ESPBEL-3,In-game,v1.6+uniform-frac,NO,0.47,17,7.99,0.3,8,0.4425,0.535,,,
45,2026-07-10T19:13:36Z,ESP–BEL,Over 0.5,over0.5,KXWCTOTAL-26JUL10ESPBEL-1,In-game,v1.6+uniform-frac,NO,0.08,10,0.8,0.05,12,0.8919,0.925,,,
46,2026-07-10T19:27:35Z,ESP–BEL,Draw,draw,KXWCGAME-26JUL10ESPBEL-TIE,Live xG,v1.6+B2-k30@25+,YES,0.26,20,5.2,0.27,26,0.3367,0.255,,,
47,2026-07-10T19:27:35Z,ESP–BEL,Over 0.5,over0.5,KXWCTOTAL-26JUL10ESPBEL-1,Live xG,v1.6+B2-k30@25+,NO,0.1,59,5.9,0.37,26,0.801,0.905,,,
48,2026-07-10T19:27:35Z,ESP–BEL,Over 1.5,over1.5,KXWCTOTAL-26JUL10ESPBEL-2,Live xG,v1.6+B2-k30@25+,NO,0.3,53,15.9,0.78,26,0.5048,0.705,,,
49,2026-07-10T19:27:35Z,ESP–BEL,Over 2.5,over2.5,KXWCTOTAL-26JUL10ESPBEL-3,Live xG,v1.6+B2-k30@25+,NO,0.57,45,25.65,0.77,26,0.2332,0.435,,,
50,2026-07-10T19:27:35Z,ESP–BEL,Over 3.5,over3.5,KXWCTOTAL-26JUL10ESPBEL-4,Live xG,v1.6+B2-k30@25+,NO,0.8,34,27.2,0.38,26,0.0878,0.205,,,
51,2026-07-10T19:27:35Z,ESP–BEL,Over 4.5,over4.5,KXWCTOTAL-26JUL10ESPBEL-5,Live xG,v1.6+B2-k30@25+,NO,0.92,27,24.84,0.14,26,0.0274,0.085,,,
52,2026-07-10T19:27:35Z,ESP–BEL,Both teams to score,btts,KXWCBTTS-26JUL10ESPBEL-BTTS,Live xG,v1.6+B2-k30@25+,NO,0.53,35,18.55,0.61,26,0.2817,0.475,,,
53,2026-07-10T19:27:35Z,ESP–BEL,Spain -1.5,home_by2,KXWCSPREAD-26JUL10ESPBEL-ESP2,Live xG,v1.6+B2-k30@25+,NO,0.7,12,8.4,0.18,26,0.2307,0.305,,,
54,2026-07-10T19:27:35Z,ESP–BEL,Draw,draw,KXWCGAME-26JUL10ESPBEL-TIE,Scalp (10-min),v1.6+B2-k30@25+,YES,0.26,20,5.2,0.43,26,0.3367,0.255,0.13,-3.03,
55,2026-07-10T19:27:35Z,ESP–BEL,Over 0.5,over0.5,KXWCTOTAL-26JUL10ESPBEL-1,Scalp (10-min),v1.6+B2-k30@25+,NO,0.1,57,5.7,0.36,26,0.801,0.905,,,
56,2026-07-10T19:27:35Z,ESP–BEL,Over 1.5,over1.5,KXWCTOTAL-26JUL10ESPBEL-2,Scalp (10-min),v1.6+B2-k30@25+,NO,0.3,52,15.6,1.09,26,0.5048,0.705,0.9,-11.49,
57,2026-07-10T19:27:35Z,ESP–BEL,Over 2.5,over2.5,KXWCTOTAL-26JUL10ESPBEL-3,Scalp (10-min),v1.6+B2-k30@25+,NO,0.57,43,24.51,1.45,26,0.2332,0.435,0.62,-9.62,
58,2026-07-10T19:27:35Z,ESP–BEL,Over 3.5,over3.5,KXWCTOTAL-26JUL10ESPBEL-4,Scalp (10-min),v1.6+B2-k30@25+,NO,0.8,33,26.4,0.87,26,0.0878,0.205,0.32,-4.83,
